特价商品数量	At-sale Products Amount
美食团购总量	Group-buying Amount
同业拆放利率	Interbank Offered Rate
汇丰制造业采购经理指数	HSBC Manufacturing Purchasing Managers Index
我国重点电厂煤炭库存情况	China Major Power Plant Coal Inventory
环渤海动力煤综合平均价格	Bohai Coal Average Price
招标公告	Tender Notice
采购项目	Procurement Project
中国航运景气指数	China Maritime Climate Index
中国出口集装箱运价指数	China Containerized Freight Index
进出口差额	Trade Balance
招聘	Recruitment
上证综指&深证成指	Shanghai Composite Index & Shenzhen Component Index
沪金95	Real-time Gold Price
房价	House Price
国内财经	China Finance
